ST,CD,Name,Region ID
AL,1,NORTHERN VALLEY,101
AL,2,APPALACHIAN MOUNTAIN,102
AL,3,UPPER PLAINS,103
AL,4,EASTERN VALLEY,104
AL,5,PIEDMONT PLATEAU,105
AL,6,PRAIRIE,106
AL,7,COASTAL PLAIN,107
AL,8,GULF,108
AZ,1,NORTHWEST,201
AZ,2,NORTHEAST,202
AZ,3,NORTH CENTRAL,203
AZ,4,EAST CENTRAL,204
AZ,5,SOUTHWEST,205
AZ,6,SOUTH CENTRAL,206
AZ,7,SOUTHEAST,207
AR,1,NORTHWEST,301
AR,2,NORTH CENTRAL,302
AR,3,NORTHEAST,303
AR,4,WEST CENTRAL,304
AR,5,CENTRAL,305
AR,6,EAST CENTRAL,306
AR,7,SOUTHWEST,307
AR,8,SOUTH CENTRAL,308
AR,9,SOUTHEAST,309
CA,1,NORTH COAST DRAINAGE,401
CA,2,SACRAMENTO DRNG.,402
CA,3,NORTHEAST INTER. BASINS,403
CA,4,CENTRAL COAST DRNG.,404
CA,5,SAN JOAQUIN DRNG.,405
CA,6,SOUTH COAST DRNG.,406
CA,7,SOUTHEAST DESERT BASIN,407
CO,1,ARKANSAS DRAINAGE BASIN,501
CO,2,COLORADO DRAINAGE BASIN,502
CO,3,KANSAS DRAINAGE BASIN,503
CO,4,PLATTE DRAINAGE BASIN,504
CO,5,RIO GRANDE DRAINAGE BASIN,505
CT,1,NORTHWEST,601
CT,2,CENTRAL,602
CT,3,COASTAL,603
DE,1,NORTHERN,701
DE,2,SOUTHERN,702
FL,1,NORTHWEST,801
FL,2,NORTH,802
FL,3,NORTH CENTRAL,803
FL,4,SOUTH CENTRAL,804
FL,5,EVERGLADES,805
FL,6,LOWER EAST COAST,806
FL,7,KEYS,807
GA,1,NORTHWEST,901
GA,2,NORTH CENTRAL,902
GA,3,NORTHEAST,903
GA,4,WEST CENTRAL,904
GA,5,CENTRAL,905
GA,6,EAST CENTRAL,906
GA,7,SOUTHWEST,907
GA,8,SOUTH CENTRAL,908
GA,9,SOUTHEAST,909
ID,1,PANHANDLE,1001
ID,2,NORTH CENTRAL PRAIRIES,1002
ID,3,NORTH CENTRAL CANYONS,1003
ID,4,CENTRAL MOUNTAINS,1004
ID,5,SOUTHWESTERN VALLEYS,1005
ID,6,SOUTHWESTERN HIGHLANDS,1006
ID,7,CENTRAL PLAINS,1007
ID,8,NORTHEASTERN VALLEYS,1008
ID,9,UPPER SNAKE RIVER PLAINS,1009
ID,10,EASTERN HIGHLANDS,1010
IL,1,NORTHWEST,1101
IL,2,NORTHEAST,1102
IL,3,WEST,1103
IL,4,CENTRAL,1104
IL,5,EAST,1105
IL,6,WEST SOUTHWEST,1106
IL,7,EAST SOUTHEAST,1107
IL,8,SOUTHWEST,1108
IL,9,SOUTHEAST,1109
IN,1,NORTHWEST,1201
IN,2,NORTH CENTRAL,1202
IN,3,NORTHEAST,1203
IN,4,WEST CENTRAL,1204
IN,5,CENTRAL,1205
IN,6,EAST CENTRAL,1206
IN,7,SOUTHWEST,1207
IN,8,SOUTH CENTRAL,1208
IN,9,SOUTHEAST,1209
