POSTAL_FIPS_ID,NCDC_FIPS_ID,CLIMDIV_ID,COUNTY,STATE,STATE_CODE
1033,1033,101,Colbert County,Alabama,AL
1059,1059,101,Franklin County,Alabama,AL
1077,1077,101,Lauderdale County,Alabama,AL
1079,1079,101,Lawrence County,Alabama,AL
1083,1083,101,Limestone County,Alabama,AL
1089,1089,101,Madison County,Alabama,AL
1103,1103,101,Morgan County,Alabama,AL
1009,1009,102,Blount County,Alabama,AL
1043,1043,102,Cullman County,Alabama,AL
1049,1049,102,DeKalb County,Alabama,AL
1071,1071,102,Jackson County,Alabama,AL
1073,1073,102,Jefferson County,Alabama,AL
1095,1095,102,Marshall County,Alabama,AL
1001,1001,103,Autauga County,Alabama,AL
1007,1007,103,Bibb County,Alabama,AL
1021,1021,103,Chilton County,Alabama,AL
1057,1057,103,Fayette County,Alabama,AL
1075,1075,103,Lamar County,Alabama,AL
1093,1093,103,Marion County,Alabama,AL
1107,1107,103,Pickens County,Alabama,AL
1125,1125,103,Tuscaloosa County,Alabama,AL
1127,1127,103,Walker County,Alabama,AL
1133,1133,103,Winston County,Alabama,AL
1015,1015,104,Calhoun County,Alabama,AL
1019,1019,104,Cherokee County,Alabama,AL
1055,1055,104,Etowah County,Alabama,AL
1115,1115,104,St. Clair County,Alabama,AL
1117,1117,104,Shelby County,Alabama,AL
1121,1121,104,Talladega County,Alabama,AL
1017,1017,105,Chambers County,Alabama,AL
1027,1027,105,Clay County,Alabama,AL
1029,1029,105,Cleburne County,Alabama,AL
1037,1037,105,Coosa County,Alabama,AL
1051,1051,105,Elmore County,Alabama,AL
1081,1081,105,Lee County,Alabama,AL
1111,1111,105,Randolph County,Alabama,AL
1123,1123,105,Tallapoosa County,Alabama,AL
1011,1011,106,Bullock County,Alabama,AL
1047,1047,106,Dallas County,Alabama,AL
1063,1063,106,Greene County,Alabama,AL
1065,1065,106,Hale County,Alabama,AL
1085,1085,106,Lowndes County,Alabama,AL
1087,1087,106,Macon County,Alabama,AL
1091,1091,106,Marengo County,Alabama,AL
1101,1101,106,Montgomery County,Alabama,AL
1105,1105,106,Perry County,Alabama,AL
1119,1119,106,Sumter County,Alabama,AL
1005,1005,107,Barbour County,Alabama,AL
1013,1013,107,Butler County,Alabama,AL
1023,1023,107,Choctaw County,Alabama,AL
1025,1025,107,Clarke County,Alabama,AL
1031,1031,107,Coffee County,Alabama,AL
1035,1035,107,Conecuh County,Alabama,AL
1039,1039,107,Covington County,Alabama,AL
1041,1041,107,Crenshaw County,Alabama,AL
1045,1045,107,Dale County,Alabama,AL
1053,1053,107,Escambia County,Alabama,AL
1061,1061,107,Geneva County,Alabama,AL
1067,1067,107,Henry County,Alabama,AL
1069,1069,107,Houston County,Alabama,AL
1099,1099,107,Monroe County,Alabama,AL
1109,1109,107,Pike County,Alabama,AL
1113,1113,107,Russell County,Alabama,AL
1129,1129,107,Washington County,Alabama,AL
1131,1131,107,Wilcox County,Alabama,AL
1003,1003,108,Baldwin County,Alabama,AL
1097,1097,108,Mobile County,Alabama,AL
4015,2015,201,Mohave County,Arizona,AZ
4001,2001,202,Apache County,Arizona,AZ
4005,2005,202,Coconino County,Arizona,AZ
4017,2017,202,Navajo County,Arizona,AZ
4025,2025,203,Yavapai County,Arizona,AZ
4007,2007,204,Gila County,Arizona,AZ
4012,2012,205,La Paz County,Arizona,AZ
4027,2027,205,Yuma County,Arizona,AZ
4013,2013,206,Maricopa County,Arizona,AZ
4021,2021,206,Pinal County,Arizona,AZ
4003,2003,207,Cochise County,Arizona,AZ
4009,2009,207,Graham County,Arizona,AZ
4011,2011,207,Greenlee County,Arizona,AZ
4019,2019,207,Pima County,Arizona,AZ
4023,2023,207,Santa Cruz County,Arizona,AZ
